x,y
0.934314575050762,2.565685424949238
1.2348349570550445,2.441941738241592
1.1906407832308855,2.397747564417433
1.4646446609406725,2.3181980515339465
1.39393398282201775,2.24748737341529175
1.74748737341529175,2.24748737341529175
1.553033008588991,2.053033008588991
1.6944543648263005,1.9116116523516815
1.5883883476483185,1.8055456351736995
1.446966991411009,1.946966991411009
1.25251262658470825,1.75251262658470825
1.25251262658470825,2.10606601717798225
1.1818019484660535,2.0353553390593275
1.102252435582567,2.3093592167691145
1.05805826175840775,2.2651650429449555
0.934314575050762,2.565685424949238
