config,iteration,best_fitness,worst_fitness,avg_fitness
1,1,0.679945,1.003633,0.813526
1,2,0.664479,0.943169,0.769368
1,3,0.664479,0.933709,0.746154
1,4,0.664479,0.868976,0.718604
1,5,0.664479,0.868976,0.701411
1,6,0.661250,0.744570,0.684975
1,7,0.661250,0.704775,0.669990
1,8,0.661250,0.673897,0.664980
1,9,0.661250,0.670803,0.662966
1,10,0.661250,0.664479,0.662326
1,11,0.661250,0.664479,0.661896
1,12,0.661250,0.664479,0.661358
1,13,0.661250,0.661250,0.661250
1,14,0.661250,0.661250,0.661250
1,15,0.661250,0.661250,0.661250
1,16,0.661250,0.661250,0.661250
1,17,0.661250,0.661250,0.661250
1,18,0.661250,0.661250,0.661250
1,19,0.661250,0.661250,0.661250
1,20,0.661250,0.661250,0.661250
1,21,0.661250,0.661250,0.661250
1,22,0.661250,0.661250,0.661250
1,23,0.661250,0.661250,0.661250
1,24,0.661250,0.661250,0.661250
1,25,0.661250,0.661250,0.661250
1,26,0.661250,0.661250,0.661250
1,27,0.661250,0.661250,0.661250
1,28,0.661250,0.661250,0.661250
1,29,0.661250,0.661250,0.661250
1,30,0.661250,0.661250,0.661250
1,31,0.661250,0.661250,0.661250
1,32,0.661250,0.661250,0.661250
1,33,0.661250,0.661250,0.661250
1,34,0.661250,0.661250,0.661250
1,35,0.661250,0.661250,0.661250
1,36,0.661250,0.661250,0.661250
1,37,0.661250,0.661250,0.661250
1,38,0.661250,0.661250,0.661250
1,39,0.661250,0.661250,0.661250
1,40,0.661250,0.661250,0.661250
1,41,0.661250,0.661250,0.661250
1,42,0.661250,0.661250,0.661250
1,43,0.661250,0.661250,0.661250
1,44,0.661250,0.661250,0.661250
1,45,0.661250,0.661250,0.661250
1,46,0.661250,0.661250,0.661250
1,47,0.661250,0.661250,0.661250
1,48,0.661250,0.661250,0.661250
1,49,0.661250,0.661250,0.661250
1,50,0.661250,0.661250,0.661250
1,51,0.661250,0.661250,0.661250
1,52,0.661250,0.661250,0.661250
1,53,0.661250,0.661250,0.661250
1,54,0.661250,0.661250,0.661250
1,55,0.661250,0.661250,0.661250
1,56,0.661250,0.661250,0.661250
1,57,0.661250,0.661250,0.661250
1,58,0.661250,0.661250,0.661250
1,59,0.661250,0.661250,0.661250
1,60,0.661250,0.661250,0.661250
1,61,0.661250,0.661250,0.661250
1,62,0.661250,0.661250,0.661250
1,63,0.661250,0.661250,0.661250
1,64,0.661250,0.661250,0.661250
1,65,0.661250,0.661250,0.661250
1,66,0.661250,0.661250,0.661250
1,67,0.661250,0.661250,0.661250
1,68,0.661250,0.661250,0.661250
1,69,0.661250,0.661250,0.661250
1,70,0.661250,0.661250,0.661250
1,71,0.661250,0.661250,0.661250
1,72,0.661250,0.661250,0.661250
1,73,0.661250,0.661250,0.661250
1,74,0.661250,0.661250,0.661250
1,75,0.661250,0.661250,0.661250
1,76,0.661250,0.661250,0.661250
1,77,0.661250,0.661250,0.661250
1,78,0.661250,0.661250,0.661250
1,79,0.661250,0.661250,0.661250
1,80,0.661250,0.661250,0.661250
1,81,0.661250,0.661250,0.661250
1,82,0.661250,0.661250,0.661250
1,83,0.661250,0.661250,0.661250
1,84,0.661250,0.661250,0.661250
1,85,0.661250,0.661250,0.661250
1,86,0.661250,0.661250,0.661250
1,87,0.661250,0.661250,0.661250
1,88,0.661250,0.661250,0.661250
1,89,0.661250,0.661250,0.661250
1,90,0.661250,0.661250,0.661250
1,91,0.661250,0.661250,0.661250
1,92,0.661250,0.661250,0.661250
1,93,0.661250,0.661250,0.661250
1,94,0.661250,0.661250,0.661250
1,95,0.661250,0.661250,0.661250
1,96,0.661250,0.661250,0.661250
1,97,0.661250,0.661250,0.661250
1,98,0.661250,0.661250,0.661250
1,99,0.661250,0.661250,0.661250
1,100,0.661250,0.661250,0.661250
2,1,0.566303,11.605659,2.041007
2,2,0.566303,7.997472,1.224391
2,3,0.566303,1.291699,0.934563
2,4,0.566303,1.186198,0.846084
2,5,0.566303,1.153380,0.787540
2,6,0.566303,1.095557,0.759102
2,7,0.566303,1.095557,0.717731
2,8,0.557487,1.009062,0.642655
2,9,0.557487,1.009062,0.618453
2,10,0.557487,0.688685,0.588325
2,11,0.511540,0.643781,0.564478
2,12,0.510333,0.643299,0.546219
2,13,0.510144,0.643299,0.541277
2,14,0.510144,0.643299,0.533800
2,15,0.510144,0.586866,0.527728
2,16,0.510144,0.586866,0.521190
2,17,0.510144,0.567583,0.516910
2,18,0.510144,0.553501,0.513568
2,19,0.510144,0.553501,0.512376
2,20,0.510144,0.553501,0.512091
2,21,0.502124,0.511456,0.505173
2,22,0.501974,0.511456,0.503345
2,23,0.501974,0.503700,0.502706
2,24,0.501974,0.503700,0.502464
2,25,0.501974,0.503088,0.502308
2,26,0.501974,0.503088,0.502176
2,27,0.501974,0.503088,0.502071
2,28,0.501974,0.503088,0.502036
2,29,0.501974,0.502053,0.501985
2,30,0.501974,0.502053,0.501977
2,31,0.501974,0.502053,0.501977
2,32,0.501974,0.501974,0.501974
2,33,0.501974,0.501974,0.501974
2,34,0.501974,0.501974,0.501974
2,35,0.501974,0.501974,0.501974
2,36,0.501974,0.501974,0.501974
2,37,0.501974,0.501974,0.501974
2,38,0.501974,0.501974,0.501974
2,39,0.501974,0.501974,0.501974
2,40,0.501974,0.501974,0.501974
2,41,0.501974,0.501974,0.501974
2,42,0.501974,0.501974,0.501974
2,43,0.501974,0.501974,0.501974
2,44,0.501974,0.501974,0.501974
2,45,0.501974,0.501974,0.501974
2,46,0.501974,0.501974,0.501974
2,47,0.501974,0.501974,0.501974
2,48,0.501974,0.501974,0.501974
2,49,0.501974,0.501974,0.501974
2,50,0.501974,0.501974,0.501974
2,51,0.501974,0.501974,0.501974
2,52,0.501974,0.501974,0.501974
2,53,0.501974,0.501974,0.501974
2,54,0.501974,0.501974,0.501974
2,55,0.501974,0.501974,0.501974
2,56,0.501974,0.501974,0.501974
2,57,0.501974,0.501974,0.501974
2,58,0.501974,0.501974,0.501974
2,59,0.501974,0.501974,0.501974
2,60,0.501974,0.501974,0.501974
2,61,0.501974,0.501974,0.501974
2,62,0.501974,0.501974,0.501974
2,63,0.501974,0.501974,0.501974
2,64,0.501974,0.501974,0.501974
2,65,0.501974,0.501974,0.501974
2,66,0.501974,0.501974,0.501974
2,67,0.501974,0.501974,0.501974
2,68,0.501974,0.501974,0.501974
2,69,0.501974,0.501974,0.501974
2,70,0.501974,0.501974,0.501974
2,71,0.501974,0.501974,0.501974
2,72,0.501974,0.501974,0.501974
2,73,0.501974,0.501974,0.501974
2,74,0.501974,0.501974,0.501974
2,75,0.501974,0.501974,0.501974
2,76,0.501974,0.501974,0.501974
2,77,0.501974,0.501974,0.501974
2,78,0.501974,0.501974,0.501974
2,79,0.501974,0.501974,0.501974
2,80,0.501974,0.501974,0.501974
2,81,0.501974,0.501974,0.501974
2,82,0.501974,0.501974,0.501974
2,83,0.501974,0.501974,0.501974
2,84,0.501974,0.501974,0.501974
2,85,0.501974,0.501974,0.501974
2,86,0.501974,0.501974,0.501974
2,87,0.501974,0.501974,0.501974
2,88,0.501974,0.501974,0.501974
2,89,0.501974,0.501974,0.501974
2,90,0.501974,0.501974,0.501974
2,91,0.501974,0.501974,0.501974
2,92,0.501974,0.501974,0.501974
2,93,0.501974,0.501974,0.501974
2,94,0.501974,0.501974,0.501974
2,95,0.501974,0.501974,0.501974
2,96,0.501974,0.501974,0.501974
2,97,0.501974,0.501974,0.501974
2,98,0.501974,0.501974,0.501974
2,99,0.501974,0.501974,0.501974
2,100,0.501974,0.501974,0.501974
3,1,0.515057,18.358511,7.574337
3,2,0.515057,13.780240,4.814759
3,3,0.515057,9.711661,2.160373
3,4,0.515057,9.711661,2.118055
3,5,0.515057,9.252170,1.368221
3,6,0.515057,9.252170,1.337764
3,7,0.515057,9.252170,1.117591
3,8,0.515057,7.009465,0.961526
3,9,0.515057,7.009465,0.906336
3,10,0.515057,7.009465,0.885438
3,11,0.515057,0.946448,0.659054
3,12,0.515057,0.946448,0.659054
3,13,0.515057,0.946448,0.659054
3,14,0.515057,0.946448,0.649753
3,15,0.515057,0.946448,0.649753
3,16,0.515057,0.946448,0.649753
3,17,0.515057,0.946448,0.636569
3,18,0.515057,0.946448,0.636569
3,19,0.515057,0.946448,0.636569
3,20,0.515057,0.946448,0.635915
3,21,0.515057,0.873163,0.627271
3,22,0.515057,0.873163,0.625749
3,23,0.515057,0.873163,0.625749
3,24,0.515057,0.873163,0.623714
3,25,0.515057,0.873163,0.623714
3,26,0.515057,0.873163,0.623714
3,27,0.515057,0.873163,0.623714
3,28,0.515057,0.873163,0.623714
3,29,0.515057,0.873163,0.623714
3,30,0.515057,0.873163,0.623714
3,31,0.515057,0.840763,0.614654
3,32,0.515057,0.840763,0.614654
3,33,0.515057,0.840763,0.614654
3,34,0.515057,0.840763,0.614654
3,35,0.515057,0.840763,0.614654
3,36,0.515057,0.840763,0.614654
3,37,0.515057,0.840763,0.614654
3,38,0.515057,0.840763,0.614654
3,39,0.515057,0.840763,0.614654
3,40,0.515057,0.840763,0.614654
3,41,0.515057,0.745388,0.605745
3,42,0.515057,0.745388,0.605745
3,43,0.515057,0.745388,0.605745
3,44,0.515057,0.745388,0.605745
3,45,0.515057,0.745388,0.605745
3,46,0.515057,0.745388,0.605745
3,47,0.515057,0.745388,0.605745
3,48,0.515057,0.745388,0.605745
3,49,0.515057,0.745388,0.605745
3,50,0.515057,0.745388,0.605745
3,51,0.515057,0.699936,0.598529
3,52,0.515057,0.699936,0.598529
